dtP_fact,dtV_fact,θ_fact,iters,dtP,dtV,theta,λminVx,λmaxVx,λminPt,Δx,η
0.6,0.6,0.6,1900.0,0.0038095238095238095,0.00023596938775510202,0.06376510729661321,11.965973364497367,8467.2,2.233668435370491,0.015873015873015872,0.2
0.6,0.6,0.6799999999999999,1400.0,0.0038095238095238095,0.00023596938775510202,0.19121986665075313,83.77849213011594,8467.2,4.790995352236201,0.015873015873015872,0.2
0.6,0.6,0.76,1400.0,0.0038095238095238095,0.00023596938775510202,0.09089248501610728,15.153505569654904,8467.2,4.373524953058675,0.015873015873015872,0.2
0.6,0.6,0.8400000000000001,1600.0,0.0038095238095238095,0.00023596938775510202,0.10263008814427449,15.815217706458782,8467.2,2.551080753510819,0.015873015873015872,0.2
0.6,0.6,0.9199999999999999,1600.0,0.0038095238095238095,0.00023596938775510202,0.11273943741784775,15.90964228057395,8467.2,2.661740763320042,0.015873015873015872,0.2
0.6,0.6,1.0,1500.0,0.0038095238095238095,0.00023596938775510202,0.25787047356933274,70.45106758496702,8467.2,3.9315962985296253,0.015873015873015872,0.2
0.6,0.6,1.08,1100.0,0.0038095238095238095,0.00023596938775510202,0.17142624846068377,26.692636607049646,8467.2,1.9301411214794786,0.015873015873015872,0.2
0.6,0.6,1.1600000000000001,1300.0,0.0038095238095238095,0.00023596938775510202,0.09140971576018705,6.57889691539273,8467.2,3.4045193680184016,0.015873015873015872,0.2
0.6,0.6,1.24,1400.0,0.0038095238095238095,0.00023596938775510202,0.08933177088350906,5.49860926357685,8467.2,2.576753784495447,0.015873015873015872,0.2
0.6,0.6,1.32,1400.0,0.0038095238095238095,0.00023596938775510202,0.11603352012086525,8.186597073813353,8467.2,3.4289819513853903,0.015873015873015872,0.2
0.6,0.6,1.4,1300.0,0.0038095238095238095,0.00023596938775510202,0.11096176187317408,6.655412215134591,8467.2,3.7367628191107687,0.015873015873015872,0.2
0.6,0.6,1.48,1300.0,0.0038095238095238095,0.00023596938775510202,0.11159164759236022,6.023158498080057,8467.2,3.8802935893765844,0.015873015873015872,0.2
0.6,0.6,1.56,1300.0,0.0038095238095238095,0.00023596938775510202,0.11857780443232932,6.121275916409859,8467.2,4.220641015117959,0.015873015873015872,0.2
0.6,0.6,1.6400000000000001,1400.0,0.0038095238095238095,0.00023596938775510202,0.13182540194297007,6.845337341623031,8467.2,4.157452425581626,0.015873015873015872,0.2
0.6,0.6,1.7200000000000002,1400.0,0.0038095238095238095,0.00023596938775510202,0.1276255240327077,5.833141689785121,8467.2,4.2771061558637005,0.015873015873015872,0.2
0.6,0.6,1.8,1400.0,0.0038095238095238095,0.00023596938775510202,0.1270599964518279,5.2790650131370525,8467.2,4.258766269252011,0.015873015873015872,0.2
0.6,0.6799999999999999,0.6,1600.0,0.0038095238095238095,0.00023596938775510202,0.09100966304158072,24.375686461270938,8467.2,3.998851802253259,0.015873015873015872,0.2
0.6,0.6799999999999999,0.6799999999999999,1500.0,0.0038095238095238095,0.00023596938775510202,0.08688673365269795,17.29710650691616,8467.2,0.4487765965786028,0.015873015873015872,0.2
0.6,0.6799999999999999,0.76,1400.0,0.0038095238095238095,0.00023596938775510202,0.13242108554715262,32.16410312857787,8467.2,4.759553557041982,0.015873015873015872,0.2
0.6,0.6799999999999999,0.8400000000000001,1400.0,0.0038095238095238095,0.00023596938775510202,0.27365895238628957,112.44627961135362,8467.2,5.621664563774161,0.015873015873015872,0.2
0.6,0.6799999999999999,0.9199999999999999,1500.0,0.0038095238095238095,0.00023596938775510202,0.10275150743252293,13.215545437672686,8467.2,1.2126297488577509,0.015873015873015872,0.2
0.6,0.6799999999999999,1.0,1400.0,0.0038095238095238095,0.00023596938775510202,0.1493255656140207,23.623958978408925,8467.2,4.80079979230868,0.015873015873015872,0.2
0.6,0.6799999999999999,1.08,1400.0,0.0038095238095238095,0.00023596938775510202,0.1342544039400277,16.37170511043106,8467.2,4.4959763242009405,0.015873015873015872,0.2
0.6,0.6799999999999999,1.1600000000000001,1100.0,0.0038095238095238095,0.00023596938775510202,0.2109632936152273,35.04145726445746,8467.2,2.1884659421397097,0.015873015873015872,0.2
0.6,0.6799999999999999,1.24,1300.0,0.0038095238095238095,0.00023596938775510202,0.0872604508350585,5.246574903914073,8467.2,3.099388394827254,0.015873015873015872,0.2
0.6,0.6799999999999999,1.32,1300.0,0.0038095238095238095,0.00023596938775510202,0.11613804509915515,8.201352970158792,8467.2,3.6728817007551804,0.015873015873015872,0.2
0.6,0.6799999999999999,1.4,1200.0,0.0038095238095238095,0.00023596938775510202,0.11514983967902744,7.16728950167877,8467.2,3.7038899219661867,0.015873015873015872,0.2
0.6,0.6799999999999999,1.48,1300.0,0.0038095238095238095,0.00023596938775510202,0.11082444448472109,5.9406236281365805,8467.2,2.8164123709565745,0.015873015873015872,0.2
0.6,0.6799999999999999,1.56,1300.0,0.0038095238095238095,0.00023596938775510202,0.12156149834459087,6.433202694789315,8467.2,3.617905754075594,0.015873015873015872,0.2
0.6,0.6799999999999999,1.6400000000000001,1300.0,0.0038095238095238095,0.00023596938775510202,0.13046932870064623,6.705227268584227,8467.2,4.197267496679921,0.015873015873015872,0.2
0.6,0.6799999999999999,1.7200000000000002,1300.0,0.0038095238095238095,0.00023596938775510202,0.1258122078284793,5.668563506169489,8467.2,4.091963026086789,0.015873015873015872,0.2
0.6,0.6799999999999999,1.8,1300.0,0.0038095238095238095,0.00023596938775510202,0.12485478614498463,5.097411835449999,8467.2,4.312595063357812,0.015873015873015872,0.2
