dtP_fact,dtV_fact,θ_fact,iters,dtP,dtV,theta,λminVx,λmaxVx,λminPt,Δx,η
0.6,0.6,0.6,5200.0,0.000933852140077821,1.4179813471816378e-5,0.026198738856078364,33.61458561287077,140904.53333333335,4.311676811178533,0.0038910505836575876,0.2
0.6,0.6,0.6799999999999999,5300.0,0.000933852140077821,1.4179813471816378e-5,0.024140453243522108,22.219920715198484,140904.53333333335,4.554800656730366,0.0038910505836575876,0.2
0.6,0.6,0.76,5400.0,0.000933852140077821,1.4179813471816378e-5,0.023895239209759313,17.428703077608787,140904.53333333335,0.6918314936523985,0.0038910505836575876,0.2
0.6,0.6,0.8400000000000001,5550.0,0.000933852140077821,1.4179813471816378e-5,0.023752974073707186,14.097655966601348,140904.53333333335,1.1580312253796772,0.0038910505836575876,0.2
0.6,0.6,0.9199999999999999,5700.0,0.000933852140077821,1.4179813471816378e-5,0.024216883563505435,12.21603710954179,140904.53333333335,2.3419929165980715,0.0038910505836575876,0.2
0.6,0.6,1.0,5850.0,0.000933852140077821,1.4179813471816378e-5,0.02575505105981268,11.694840986659841,140904.53333333335,4.188934205222365,0.0038910505836575876,0.2
0.6,0.6,1.08,5950.0,0.000933852140077821,1.4179813471816378e-5,0.026298111010965294,10.453725413266048,140904.53333333335,0.6044029591672037,0.0038910505836575876,0.2
0.6,0.6,1.1600000000000001,6100.0,0.000933852140077821,1.4179813471816378e-5,0.03014282527488719,11.904781383111017,140904.53333333335,4.3915961941860795,0.0038910505836575876,0.2
0.6,0.6,1.24,6200.0,0.000933852140077821,1.4179813471816378e-5,0.03145163882993721,11.342601652907002,140904.53333333335,3.2624186114471643,0.0038910505836575876,0.2
0.6,0.6,1.32,6350.0,0.000933852140077821,1.4179813471816378e-5,0.04106473834810258,17.06317120204389,140904.53333333335,4.383844505580605,0.0038910505836575876,0.2
0.6,0.6,1.4,6450.0,0.000933852140077821,1.4179813471816378e-5,0.044521929993303656,17.8304122397167,140904.53333333335,4.040611921576439,0.0038910505836575876,0.2
0.6,0.6,1.48,6550.0,0.000933852140077821,1.4179813471816378e-5,0.04876365987075303,19.13985514794657,140904.53333333335,3.634048882743448,0.0038910505836575876,0.2
0.6,0.6,1.56,6650.0,0.000933852140077821,1.4179813471816378e-5,0.05327747408131362,20.563997715553903,140904.53333333335,3.2107231286282256,0.0038910505836575876,0.2
0.6,0.6,1.6400000000000001,6750.0,0.000933852140077821,1.4179813471816378e-5,0.05748438672855638,21.661154475911907,140904.53333333335,2.818792354350026,0.0038910505836575876,0.2
0.6,0.6,1.7200000000000002,6850.0,0.000933852140077821,1.4179813471816378e-5,0.06165899926777877,22.657163596244942,140904.53333333335,2.4197926495518858,0.0038910505836575876,0.2
0.6,0.6,1.8,6950.0,0.000933852140077821,1.4179813471816378e-5,0.06460221501989001,22.710113167036273,140904.53333333335,2.2556447132631905,0.0038910505836575876,0.2
0.6,0.6799999999999999,0.6,5100.0,0.000933852140077821,1.4179813471816378e-5,0.037188384604285536,67.73008451930272,140904.53333333335,2.095414716460861,0.0038910505836575876,0.2
0.6,0.6799999999999999,0.6799999999999999,5150.0,0.000933852140077821,1.4179813471816378e-5,0.03375347763653115,43.439889851975856,140904.53333333335,1.9912801367954296,0.0038910505836575876,0.2
0.6,0.6799999999999999,0.76,5250.0,0.000933852140077821,1.4179813471816378e-5,0.03166995377662394,30.615204529889656,140904.53333333335,2.812990161617375,0.0038910505836575876,0.2
0.6,0.6799999999999999,0.8400000000000001,5350.0,0.000933852140077821,1.4179813471816378e-5,0.030465549936786823,23.19150659036617,140904.53333333335,2.534047142633525,0.0038910505836575876,0.2
0.6,0.6799999999999999,0.9199999999999999,5450.0,0.000933852140077821,1.4179813471816378e-5,0.03003086276696877,18.785789635284196,140904.53333333335,1.3086422320584694,0.0038910505836575876,0.2
0.6,0.6799999999999999,1.0,5550.0,0.000933852140077821,1.4179813471816378e-5,0.03014609669741762,16.02255114103489,140904.53333333335,0.4600632892909109,0.0038910505836575876,0.2
0.6,0.6799999999999999,1.08,5650.0,0.000933852140077821,1.4179813471816378e-5,0.030576993136929086,14.132257151179266,140904.53333333335,2.039963661792453,0.0038910505836575876,0.2
0.6,0.6799999999999999,1.1600000000000001,5800.0,0.000933852140077821,1.4179813471816378e-5,0.030622171829415405,12.286423770438283,140904.53333333335,3.307227626397664,0.0038910505836575876,0.2
0.6,0.6799999999999999,1.24,5900.0,0.000933852140077821,1.4179813471816378e-5,0.03154170756767678,11.407658779365097,140904.53333333335,3.169764202149089,0.0038910505836575876,0.2
0.6,0.6799999999999999,1.32,6000.0,0.000933852140077821,1.4179813471816378e-5,0.03290688201410719,10.957086657835541,140904.53333333335,3.426300657259655,0.0038910505836575876,0.2
0.6,0.6799999999999999,1.4,6100.0,0.000933852140077821,1.4179813471816378e-5,0.03489476727810535,10.953023812701545,140904.53333333335,3.9593286065936786,0.0038910505836575876,0.2
0.6,0.6799999999999999,1.48,6200.0,0.000933852140077821,1.4179813471816378e-5,0.03780636960333479,11.504718890803119,140904.53333333335,4.377872811382883,0.0038910505836575876,0.2
0.6,0.6799999999999999,1.56,6300.0,0.000933852140077821,1.4179813471816378e-5,0.04186534613513183,12.697834621394783,140904.53333333335,4.4058409538820555,0.0038910505836575876,0.2
0.6,0.6799999999999999,1.6400000000000001,6350.0,0.000933852140077821,1.4179813471816378e-5,0.0396736145658412,10.317757923339997,140904.53333333335,2.9199081891165077,0.0038910505836575876,0.2
